state;action_reward;n_state 
19924&1|14210&0|19377&1|19002&1|9781&0|11362&0|8566&1|8894&0|19377&0|18780&1;19586&1|7291&1|4755&1;19924&1|14210&0|19377&1|19002&1|9781&0|11362&0|8566&1|8894&0|19377&0|18780&1|19586&1|7291&1|4755&1
18675&1|12749&0|949&0|13803&0|3893&0|4249&0|10542&0|13742&0|18077&1|6347&1;11671&1|19732&1|1593&1;18675&1|12749&0|949&0|13803&0|3893&0|4249&0|10542&0|13742&0|18077&1|6347&1|11671&1|19732&1|1593&1
20222&0|10041&0|13959&0|12388&0|4447&0|11484&1|1224&0|1224&1|4312&0|14175&0;11749&0|10521&0|5875&0;20222&0|10041&0|13959&0|12388&0|4447&0|11484&1|1224&0|1224&1|4312&0|14175&0|11749&0|10521&0|5875&0
8628&0|17896&1|5189&0|17325&1|15258&0|7310&1|2546&1|15258&0|12967&0|17896&0;5418&1|13004&1|5317&1;8628&0|17896&1|5189&0|17325&1|15258&0|7310&1|2546&1|15258&0|12967&0|17896&0|5418&1|13004&1|5317&1
20722&1|20683&0|18276&0|20722&1|18276&1|20722&1|18276&1|18276&1|20722&1|18276&1;20722&1|20722&1|18276&1;20722&1|20683&0|18276&0|20722&1|18276&1|20722&1|18276&1|18276&1|20722&1|18276&1|20722&1|20722&1|18276&1
6105&1|19601&1|4193&1|13995&0|13395&0|10970&1|9853&1|13435&0|5554&1|18852&1;4899&1|16328&1|11262&1;6105&1|19601&1|4193&1|13995&0|13395&0|10970&1|9853&1|13435&0|5554&1|18852&1|4899&1|16328&1|11262&1
1066&1|2325&1|13585&1|18049&1|14870&1|18903&1|12936&1|11943&1|12936&1|20030&1;19418&0|6908&0|705&0;1066&1|2325&1|13585&1|18049&1|14870&1|18903&1|12936&1|11943&1|12936&1|20030&1|19418&0|6908&0|705&0
9031&0|11925&0|16848&1|7912&1|19087&0|4379&0|5203&1|20446&0|6004&1|17058&0;19395&0|19395&1|11310&1;9031&0|11925&0|16848&1|7912&1|19087&0|4379&0|5203&1|20446&0|6004&1|17058&0|19395&0|19395&1|11310&1
12693&0|10721&1|3391&0|11959&1|5364&1|9220&1|9745&1|2585&0|1409&1|19505&1;16360&0|3732&0|312&0;12693&0|10721&1|3391&0|11959&1|5364&1|9220&1|9745&1|2585&0|1409&1|19505&1|16360&0|3732&0|312&0
10313&0|16292&0|14964&0|18314&0|3600&0|11223&1|13066&0|10450&1|1043&0|13573&0;1914&1|3872&0|5665&1;10313&0|16292&0|14964&0|18314&0|3600&0|11223&1|13066&0|10450&1|1043&0|13573&0|1914&1|3872&0|5665&1
4823&1|12385&1|8734&1|11470&1|7060&1|20667&1|11954&1|9151&0|15381&0|6872&1;19679&1|8876&1|13580&1;4823&1|12385&1|8734&1|11470&1|7060&1|20667&1|11954&1|9151&0|15381&0|6872&1|19679&1|8876&1|13580&1
6542&1|14466&0|8374&1|15324&0|13792&0|49&0|11945&1|5148&0|13139&1|1818&0;6790&0|20202&0|7346&0;6542&1|14466&0|8374&1|15324&0|13792&0|49&0|11945&1|5148&0|13139&1|1818&0|6790&0|20202&0|7346&0
1680&1|12205&0|11795&0|14933&0|2259&1|6498&1|17561&1|3872&1|16502&0|1456&1;18418&0|10715&0|5148&0;1680&1|12205&0|11795&0|14933&0|2259&1|6498&1|17561&1|3872&1|16502&0|1456&1|18418&0|10715&0|5148&0
7162&0|1260&1|6322&0|8480&0|12711&1|9067&0|3419&0|8140&0|12117&0|14924&0;15478&0|4411&0|13948&0;7162&0|1260&1|6322&0|8480&0|12711&1|9067&0|3419&0|8140&0|12117&0|14924&0|15478&0|4411&0|13948&0
7441&0|16978&0|7162&0|7120&0|13135&0|6383&0|7120&0|6492&0|7162&0|20519&0;17084&0|13163&0|12945&0;7441&0|16978&0|7162&0|7120&0|13135&0|6383&0|7120&0|6492&0|7162&0|20519&0|17084&0|13163&0|12945&0
9870&0|3554&0|16364&1|18312&1|9606&1|15708&1|7760&1|4045&0|19588&0|2992&0;8828&1|16898&1|18826&1;9870&0|3554&0|16364&1|18312&1|9606&1|15708&1|7760&1|4045&0|19588&0|2992&0|8828&1|16898&1|18826&1
7922&1|3318&0|5773&0|19926&1|18043&1|9352&0|264&0|9889&1|20357&0|4479&1;19533&1|5837&1|2399&1;7922&1|3318&0|5773&0|19926&1|18043&1|9352&0|264&0|9889&1|20357&0|4479&1|19533&1|5837&1|2399&1
3554&1|5544&1|18740&0|4192&0|16156&0|3182&0|13474&0|3500&0|14523&1|8776&0;8305&0|13959&0|10099&1;3554&1|5544&1|18740&0|4192&0|16156&0|3182&0|13474&0|3500&0|14523&1|8776&0|8305&0|13959&0|10099&1
11172&1|12193&1|15356&1|18607&0|9078&0|15356&0|5371&0|18070&1|7821&0|12881&0;7311&0|13188&0|1544&0;11172&1|12193&1|15356&1|18607&0|9078&0|15356&0|5371&0|18070&1|7821&0|12881&0|7311&0|13188&0|1544&0
3617&0|8559&0|18100&0|17183&0|18860&0|14884&1|8381&1|14884&0|372&0|18372&0;17183&0|372&0|13700&0;3617&0|8559&0|18100&0|17183&0|18860&0|14884&1|8381&1|14884&0|372&0|18372&0|17183&0|372&0|13700&0
20068&1|6498&0|18174&0|11246&0|12557&0|11795&0|16502&0|2259&0|3872&0|13965&1;5148&1|10085&1|14539&1;20068&1|6498&0|18174&0|11246&0|12557&0|11795&0|16502&0|2259&0|3872&0|13965&1|5148&1|10085&1|14539&1
13965&1|13281&0|11813&0|11425&0|14228&0|12212&0|863&0|4211&1|2841&0|14545&1;18869&0|10948&0|13779&0;13965&1|13281&0|11813&0|11425&0|14228&0|12212&0|863&0|4211&1|2841&0|14545&1|18869&0|10948&0|13779&0
10800&1|13128&1|11682&1|4853&1|8535&0|13223&1|13704&1|2993&0|8431&0|19959&1;1596&1|13013&0|16103&0;10800&1|13128&1|11682&1|4853&1|8535&0|13223&1|13704&1|2993&0|8431&0|19959&1|1596&1|13013&0|16103&0
1791&1|16782&1|13691&1|14291&1|12204&1|8737&1|399&1|14789&1|1041&1|17701&1;20750&1|18814&1|14099&1;1791&1|16782&1|13691&1|14291&1|12204&1|8737&1|399&1|14789&1|1041&1|17701&1|20750&1|18814&1|14099&1
12499&0|12453&0|4255&1|1099&1|11749&1|10490&1|5700&1|9711&0|20735&0|20608&1;13188&0|9078&0|12193&0;12499&0|12453&0|4255&1|1099&1|11749&1|10490&1|5700&1|9711&0|20735&0|20608&1|13188&0|9078&0|12193&0
19883&1|14737&1|16983&1|14737&0|16877&1|13635&1|7017&0|2411&0|16975&0|2596&1;493&1|14737&0|2411&0;19883&1|14737&1|16983&1|14737&0|16877&1|13635&1|7017&0|2411&0|16975&0|2596&1|493&1|14737&0|2411&0
18940&0|3490&0|5564&0|1995&0|1863&0|19094&0|12588&1|1995&0|1995&0|2986&0;8981&0|18984&0|12604&1;18940&0|3490&0|5564&0|1995&0|1863&0|19094&0|12588&1|1995&0|1995&0|2986&0|8981&0|18984&0|12604&1
16853&0|17401&0|4640&1|19892&0|428&1|11651&0|550&0|6902&0|11622&1|6267&0;18152&1|6267&1|17559&1;16853&0|17401&0|4640&1|19892&0|428&1|11651&0|550&0|6902&0|11622&1|6267&0|18152&1|6267&1|17559&1
10329&1|6628&1|4577&1|20187&1|2385&1|5876&1|12981&1|19250&1|9062&0|14833&1;12419&0|6628&1|15458&1;10329&1|6628&1|4577&1|20187&1|2385&1|5876&1|12981&1|19250&1|9062&0|14833&1|12419&0|6628&1|15458&1
15661&0|12452&1|13077&1|17096&0|15644&0|6580&1|1120&0|12586&1|514&1|8284&1;16374&0|6430&0|17903&0;15661&0|12452&1|13077&1|17096&0|15644&0|6580&1|1120&0|12586&1|514&1|8284&1|16374&0|6430&0|17903&0
1224&0|18940&0|7162&0|3490&0|4017&0|18886&0|19895&0|19094&0|14005&0|20387&0;11762&1|18075&0|12493&0;1224&0|18940&0|7162&0|3490&0|4017&0|18886&0|19895&0|19094&0|14005&0|20387&0|11762&1|18075&0|12493&0
2494&0|15732&0|3500&1|12963&0|13163&1|5544&1|20657&1|18358&0|5861&0|9657&0;10642&0|9009&0|4118&0;2494&0|15732&0|3500&1|12963&0|13163&1|5544&1|20657&1|18358&0|5861&0|9657&0|10642&0|9009&0|4118&0
19481&0|476&0|18943&0|9695&0|17246&1|4873&0|881&0|8379&0|19004&1|4873&0;19004&0|476&0|881&0;19481&0|476&0|18943&0|9695&0|17246&1|4873&0|881&0|8379&0|19004&1|4873&0|19004&0|476&0|881&0
18418&0|6237&0|17470&0|7977&1|10715&0|18418&1|17470&0|6281&0|18174&0|15706&0;9096&0|18236&0|6725&0;18418&0|6237&0|17470&0|7977&1|10715&0|18418&1|17470&0|6281&0|18174&0|15706&0|9096&0|18236&0|6725&0
4259&0|12020&0|14562&0|174&0|841&0|15813&0|17593&0|10860&0|9683&0|126&0;14413&0|10142&0|16008&0;4259&0|12020&0|14562&0|174&0|841&0|15813&0|17593&0|10860&0|9683&0|126&0|14413&0|10142&0|16008&0
156&0|18848&0|11459&0|3431&1|8296&1|19049&1|156&0|6011&0|16063&0|20757&1;10804&1|10804&0|19049&0;156&0|18848&0|11459&0|3431&1|8296&1|19049&1|156&0|6011&0|16063&0|20757&1|10804&1|10804&0|19049&0
9052&1|20082&0|20285&0|7066&0|371&1|20285&1|14480&0|1590&1|10292&0|9052&0;371&1|9052&0|1590&0;9052&1|20082&0|20285&0|7066&0|371&1|20285&1|14480&0|1590&1|10292&0|9052&0|371&1|9052&0|1590&0
16914&1|1684&0|20022&1|6843&1|5910&1|8590&0|19728&1|13998&0|6667&1|16914&0;11749&0|20641&0|20641&1;16914&1|1684&0|20022&1|6843&1|5910&1|8590&0|19728&1|13998&0|6667&1|16914&0|11749&0|20641&0|20641&1
13673&0|15725&0|3109&1|18345&0|11525&0|14617&1|7257&1|7249&1|14925&1|4171&0;2085&0|8528&1|486&1;13673&0|15725&0|3109&1|18345&0|11525&0|14617&1|7257&1|7249&1|14925&1|4171&0|2085&0|8528&1|486&1
12585&1|63&1|2513&1|16818&1|19306&1|12760&1|18386&1|139&1|20624&1|14816&1;4399&1|13348&1|17542&1;12585&1|63&1|2513&1|16818&1|19306&1|12760&1|18386&1|139&1|20624&1|14816&1|4399&1|13348&1|17542&1
625&1|7681&1|625&1|1284&1|19094&0|8981&1|13515&0|7681&1|625&0|20387&1;10781&0|560&1|6637&0;625&1|7681&1|625&1|1284&1|19094&0|8981&1|13515&0|7681&1|625&0|20387&1|10781&0|560&1|6637&0
16332&1|17943&0|6500&0|14454&0|6500&1|11085&0|17943&1|6206&1|14454&1|6206&1;17943&0|6206&1|14454&0;16332&1|17943&0|6500&0|14454&0|6500&1|11085&0|17943&1|6206&1|14454&1|6206&1|17943&0|6206&1|14454&0
13006&0|4013&0|12733&0|15426&0|6573&0|963&1|3184&0|10116&0|15606&1|6621&1;11580&0|19271&0|16386&1;13006&0|4013&0|12733&0|15426&0|6573&0|963&1|3184&0|10116&0|15606&1|6621&1|11580&0|19271&0|16386&1
8078&0|6326&0|617&0|4675&0|7688&0|3694&0|18891&1|17255&1|1721&0|20016&0;5272&0|17216&0|19273&0;8078&0|6326&0|617&0|4675&0|7688&0|3694&0|18891&1|17255&1|1721&0|20016&0|5272&0|17216&0|19273&0
6545&1|20581&0|14278&0|11880&0|1284&0|10234&1|9853&0|10365&1|12493&1|19790&0;20683&0|20683&1|15216&0;6545&1|20581&0|14278&0|11880&0|1284&0|10234&1|9853&0|10365&1|12493&1|19790&0|20683&0|20683&1|15216&0
2586&0|15089&1|12694&0|8284&0|4458&0|2903&0|15166&0|15418&0|4948&0|14336&0;12550&0|17932&0|11994&1;2586&0|15089&1|12694&0|8284&0|4458&0|2903&0|15166&0|15418&0|4948&0|14336&0|12550&0|17932&0|11994&1
14085&1|16419&1|19956&1|18927&1|12066&1|11320&1|4930&1|16419&1|10076&1|12825&1;19737&1|1518&0|148&1;14085&1|16419&1|19956&1|18927&1|12066&1|11320&1|4930&1|16419&1|10076&1|12825&1|19737&1|1518&0|148&1
15659&0|1224&1|6405&1|2280&0|19493&0|19406&0|13057&0|11994&1|4151&0|17106&0;9039&0|261&0|1795&0;15659&0|1224&1|6405&1|2280&0|19493&0|19406&0|13057&0|11994&1|4151&0|17106&0|9039&0|261&0|1795&0
3041&1|11866&0|19424&0|3709&0|10980&0|18286&0|565&0|6903&1|12569&0|6359&1;9016&0|12793&0|12525&1;3041&1|11866&0|19424&0|3709&0|10980&0|18286&0|565&0|6903&1|12569&0|6359&1|9016&0|12793&0|12525&1
13598&1|8039&1|501&1|19091&0|17996&0|19144&0|13320&0|536&0|11945&1|11749&1;18816&1|9991&0|13318&0;13598&1|8039&1|501&1|19091&0|17996&0|19144&0|13320&0|536&0|11945&1|11749&1|18816&1|9991&0|13318&0
15874&1|14304&1|7846&1|18864&0|13216&1|9289&1|1828&1|4100&1|2310&1|14319&1;14734&1|11698&1|16413&1;15874&1|14304&1|7846&1|18864&0|13216&1|9289&1|1828&1|4100&1|2310&1|14319&1|14734&1|11698&1|16413&1
9325&0|3500&0|18740&0|8391&0|18740&0|18181&1|16228&1|2473&0|15527&1|19333&0;8718&0|15216&1|12604&1;9325&0|3500&0|18740&0|8391&0|18740&0|18181&1|16228&1|2473&0|15527&1|19333&0|8718&0|15216&1|12604&1
15392&0|2919&0|13671&0|11440&1|3559&1|20091&1|3524&0|18853&1|15266&0|15572&0;17779&0|11946&0|18862&0;15392&0|2919&0|13671&0|11440&1|3559&1|20091&1|3524&0|18853&1|15266&0|15572&0|17779&0|11946&0|18862&0
6917&1|13838&1|3015&1|5914&1|6580&1|20734&1|9942&1|12507&1|18010&1|7990&1;9425&1|20566&1|16156&1;6917&1|13838&1|3015&1|5914&1|6580&1|20734&1|9942&1|12507&1|18010&1|7990&1|9425&1|20566&1|16156&1
9853&1|12604&0|1224&0|9657&0|14047&1|10642&0|13163&0|15659&0|20481&0|11945&0;9942&0|4192&0|20387&0;9853&1|12604&0|1224&0|9657&0|14047&1|10642&0|13163&0|15659&0|20481&0|11945&0|9942&0|4192&0|20387&0
7288&0|17740&0|9663&0|1053&0|19288&0|14363&0|7567&0|5114&0|19018&0|7642&1;10477&0|15078&1|15078&0;7288&0|17740&0|9663&0|1053&0|19288&0|14363&0|7567&0|5114&0|19018&0|7642&1|10477&0|15078&1|15078&0
5875&0|3182&1|5544&1|8284&0|16666&0|578&0|3182&0|5875&1|20683&0|3554&1;3025&0|18740&0|16156&0;5875&0|3182&1|5544&1|8284&0|16666&0|578&0|3182&0|5875&1|20683&0|3554&1|3025&0|18740&0|16156&0
4192&0|13310&0|3662&1|17793&0|4192&0|3662&0|17793&1|17793&0|9203&1|3662&0;11265&1|11265&0|6756&0;4192&0|13310&0|3662&1|17793&0|4192&0|3662&0|17793&1|17793&0|9203&1|3662&0|11265&1|11265&0|6756&0
11484&1|5487&1|3313&1|10079&0|18076&1|707&0|14745&0|172&1|4118&1|18519&1;10868&1|18519&1|501&1;11484&1|5487&1|3313&1|10079&0|18076&1|707&0|14745&0|172&1|4118&1|18519&1|10868&1|18519&1|501&1
4433&0|3711&0|3168&0|15311&0|18518&0|17185&0|6648&0|4019&0|18518&0|5283&1;17484&0|17484&1|5554&0;4433&0|3711&0|3168&0|15311&0|18518&0|17185&0|6648&0|4019&0|18518&0|5283&1|17484&0|17484&1|5554&0
13219&1|11749&0|13219&0|3554&0|2747&1|11749&1|9753&0|20279&1|20708&0|163&0;9636&0|9753&1|17645&1;13219&1|11749&0|13219&0|3554&0|2747&1|11749&1|9753&0|20279&1|20708&0|163&0|9636&0|9753&1|17645&1
10481&1|3852&0|18267&0|16667&0|4731&1|3623&0|8719&0|16667&0|18758&0|2906&0;17774&1|14580&1|10481&0;10481&1|3852&0|18267&0|16667&0|4731&1|3623&0|8719&0|16667&0|18758&0|2906&0|17774&1|14580&1|10481&0
15573&1|6913&0|733&0|4842&0|11777&0|18656&1|2976&0|20047&1|2520&1|18991&0;18388&0|13672&0|14349&0;15573&1|6913&0|733&0|4842&0|11777&0|18656&1|2976&0|20047&1|2520&1|18991&0|18388&0|13672&0|14349&0
18771&0|13682&0|15503&0|12726&0|6841&0|14842&0|11040&0|1136&0|4899&0|3835&0;16372&0|15485&0|14387&0;18771&0|13682&0|15503&0|12726&0|6841&0|14842&0|11040&0|1136&0|4899&0|3835&0|16372&0|15485&0|14387&0
6024&0|19567&0|16710&1|7292&1|3822&0|14387&1|10065&0|18609&0|13114&1|1311&0;7222&0|6224&0|14254&0;6024&0|19567&0|16710&1|7292&1|3822&0|14387&1|10065&0|18609&0|13114&1|1311&0|7222&0|6224&0|14254&0
4937&1|13117&1|14209&0|20510&0|9664&1|11492&0|10298&0|2526&1|6239&1|10253&1;18528&0|9700&0|5085&1;4937&1|13117&1|14209&0|20510&0|9664&1|11492&0|10298&0|2526&1|6239&1|10253&1|18528&0|9700&0|5085&1
2170&0|12934&1|6891&0|12934&0|19764&0|9883&0|1989&0|4102&0|12934&1|1989&1;8543&1|2072&1|7778&1;2170&0|12934&1|6891&0|12934&0|19764&0|9883&0|1989&0|4102&0|12934&1|1989&1|8543&1|2072&1|7778&1
20644&0|2190&0|10269&0|16434&0|14693&0|17699&0|7494&0|11133&0|13665&0|13665&1;1980&0|8355&0|10561&0;20644&0|2190&0|10269&0|16434&0|14693&0|17699&0|7494&0|11133&0|13665&0|13665&1|1980&0|8355&0|10561&0
5881&1|1911&1|6358&0|13515&1|1089&0|16891&0|18375&0|15356&1|18276&1|1834&1;10666&0|16891&1|13415&0;5881&1|1911&1|6358&0|13515&1|1089&0|16891&0|18375&0|15356&1|18276&1|1834&1|10666&0|16891&1|13415&0
11945&1|15517&0|19298&0|15517&1|15517&1|15517&1|11945&0|5368&0|11945&0|11945&0;16791&0|11945&1|19298&0;11945&1|15517&0|19298&0|15517&1|15517&1|15517&1|11945&0|5368&0|11945&0|11945&0|16791&0|11945&1|19298&0
6138&0|10406&0|76&0|19606&0|15153&0|10845&0|15391&1|970&0|2146&1|8558&0;11655&1|10145&1|14841&0;6138&0|10406&0|76&0|19606&0|15153&0|10845&0|15391&1|970&0|2146&1|8558&0|11655&1|10145&1|14841&0
15485&0|14017&0|16666&0|11994&0|15644&1|17874&0|15708&0|16730&0|1340&0|6431&1;8391&0|15216&0|20507&1;15485&0|14017&0|16666&0|11994&0|15644&1|17874&0|15708&0|16730&0|1340&0|6431&1|8391&0|15216&0|20507&1
1922&0|348&0|20606&1|12267&1|3769&0|4377&1|4804&1|14596&1|8471&1|201&1;1132&1|7235&0|17960&0;1922&0|348&0|20606&1|12267&1|3769&0|4377&1|4804&1|14596&1|8471&1|201&1|1132&1|7235&0|17960&0
15003&1|2956&0|9853&0|7763&0|1524&0|19919&0|17569&0|17622&0|8535&0|13349&1;20076&0|8535&0|17569&0;15003&1|2956&0|9853&0|7763&0|1524&0|19919&0|17569&0|17622&0|8535&0|13349&1|20076&0|8535&0|17569&0
7360&0|9431&0|6145&0|15555&1|15012&0|20040&0|590&0|10739&0|12076&0|12519&0;16971&1|16971&0|12076&1;7360&0|9431&0|6145&0|15555&1|15012&0|20040&0|590&0|10739&0|12076&0|12519&0|16971&1|16971&0|12076&1
958&0|950&0|18026&0|13498&0|14466&0|4017&0|12729&1|7902&1|7977&0|9657&0;7162&1|8971&1|15404&1;958&0|950&0|18026&0|13498&0|14466&0|4017&0|12729&1|7902&1|7977&0|9657&0|7162&1|8971&1|15404&1
17488&0|3586&0|17628&1|5568&1|17332&0|12604&0|12604&0|20554&0|14869&0|14869&0;2553&0|12604&0|12604&1;17488&0|3586&0|17628&1|5568&1|17332&0|12604&0|12604&0|20554&0|14869&0|14869&0|2553&0|12604&0|12604&1
19652&0|2798&1|7411&1|11994&1|12368&1|9298&0|3774&1|6021&1|497&1|10565&1;8068&1|6476&1|12894&1;19652&0|2798&1|7411&1|11994&1|12368&1|9298&0|3774&1|6021&1|497&1|10565&1|8068&1|6476&1|12894&1
3195&1|12951&1|2059&1|16029&1|3525&1|3554&1|18763&1|4486&1|14652&1|6513&1;8065&1|16626&1|16029&1;3195&1|12951&1|2059&1|16029&1|3525&1|3554&1|18763&1|4486&1|14652&1|6513&1|8065&1|16626&1|16029&1
4953&0|4953&0|18850&0|19540&0|19540&0|19540&1|748&0|5683&1|4953&0|4860&0;4953&0|748&0|10510&0;4953&0|4953&0|18850&0|19540&0|19540&0|19540&1|748&0|5683&1|4953&0|4860&0|4953&0|748&0|10510&0
6913&1|2868&0|14480&1|4505&1|19825&1|10514&0|10364&1|18450&1|6542&1|9562&0;9853&0|9562&1|2868&1;6913&1|2868&0|14480&1|4505&1|19825&1|10514&0|10364&1|18450&1|6542&1|9562&0|9853&0|9562&1|2868&1
3490&1|5564&1|19094&1|18075&0|18984&1|8981&1|4017&0|18886&1|12588&1|9546&1;15216&1|14005&1|7162&1;3490&1|5564&1|19094&1|18075&0|18984&1|8981&1|4017&0|18886&1|12588&1|9546&1|15216&1|14005&1|7162&1
17995&1|3518&1|16607&1|7203&1|1441&0|1444&0|3146&1|19012&0|5140&1|16607&1;6346&0|341&1|13624&0;17995&1|3518&1|16607&1|7203&1|1441&0|1444&0|3146&1|19012&0|5140&1|16607&1|6346&0|341&1|13624&0
19597&1|8168&1|953&0|14167&0|1379&1|4529&1|14230&0|11996&1|15226&1|12469&1;1876&1|1251&1|786&1;19597&1|8168&1|953&0|14167&0|1379&1|4529&1|14230&0|11996&1|15226&1|12469&1|1876&1|1251&1|786&1
15216&1|4168&1|20154&1|9853&0|19583&1|6424&1|13598&0|9562&1|7162&1|10364&1;16678&1|9070&1|13244&1;15216&1|4168&1|20154&1|9853&0|19583&1|6424&1|13598&0|9562&1|7162&1|10364&1|16678&1|9070&1|13244&1
9657&1|10642&1|13709&0|4192&0|9942&1|7162&1|4118&1|10364&1|13598&1|3500&1;11484&1|19783&0|12411&1;9657&1|10642&1|13709&0|4192&0|9942&1|7162&1|4118&1|10364&1|13598&1|3500&1|11484&1|19783&0|12411&1
20643&1|20643&0|11387&0|19516&0|11387&1|9992&1|17840&0|17840&1|9992&1|1500&1;535&1|1208&1|19516&1;20643&1|20643&0|11387&0|19516&0|11387&1|9992&1|17840&0|17840&1|9992&1|1500&1|535&1|1208&1|19516&1
17685&0|19925&1|1987&0|7503&0|12799&1|7029&1|1499&1|10626&1|14970&1|4595&1;1513&1|6938&1|7029&1;17685&0|19925&1|1987&0|7503&0|12799&1|7029&1|1499&1|10626&1|14970&1|4595&1|1513&1|6938&1|7029&1
4526&1|13010&0|4856&0|178&1|20179&0|18516&1|1336&1|5852&0|20459&1|10008&0;5027&0|1284&1|6036&1;4526&1|13010&0|4856&0|178&1|20179&0|18516&1|1336&1|5852&0|20459&1|10008&0|5027&0|1284&1|6036&1
2746&0|5853&0|19534&1|9060&1|13096&1|17544&0|20481&0|9738&0|5732&1|4675&1;18880&0|7382&1|2120&1;2746&0|5853&0|19534&1|9060&1|13096&1|17544&0|20481&0|9738&0|5732&1|4675&1|18880&0|7382&1|2120&1
9553&1|12510&0|11745&1|3609&1|18335&0|18335&1|13436&1|11025&1|12510&1|11025&1;11292&1|8024&1|20531&1;9553&1|12510&0|11745&1|3609&1|18335&0|18335&1|13436&1|11025&1|12510&1|11025&1|11292&1|8024&1|20531&1
8398&0|16796&1|18947&0|12289&0|16791&1|8398&0|10636&0|12894&0|12621&0|11203&0;20392&0|20392&0|250&0;8398&0|16796&1|18947&0|12289&0|16791&1|8398&0|10636&0|12894&0|12621&0|11203&0|20392&0|20392&0|250&0
13876&0|8834&0|3119&1|5029&0|19766&0|17455&1|15682&1|11668&1|11409&0|10474&1;2823&1|5267&0|3914&1;13876&0|8834&0|3119&1|5029&0|19766&0|17455&1|15682&1|11668&1|11409&0|10474&1|2823&1|5267&0|3914&1
10572&1|12753&0|17069&0|18094&1|10410&1|8288&1|7774&1|17816&1|17973&1|19598&1;4342&1|6050&1|2156&1;10572&1|12753&0|17069&0|18094&1|10410&1|8288&1|7774&1|17816&1|17973&1|19598&1|4342&1|6050&1|2156&1
14600&1|7462&0|4487&1|19233&0|15688&1|7068&1|1144&0|19168&1|18268&0|9230&1;4687&0|3219&0|3930&0;14600&1|7462&0|4487&1|19233&0|15688&1|7068&1|1144&0|19168&1|18268&0|9230&1|4687&0|3219&0|3930&0
746&1|4927&0|9694&0|8460&0|1789&1|8567&0|9507&0|10581&0|16791&1|4072&0;7243&0|15517&1|3490&0;746&1|4927&0|9694&0|8460&0|1789&1|8567&0|9507&0|10581&0|16791&1|4072&0|7243&0|15517&1|3490&0
9714&0|5793&0|250&0|9079&0|2891&0|16856&0|11580&0|9636&0|9815&0|15634&0;2891&1|2480&0|2480&1;9714&0|5793&0|250&0|9079&0|2891&0|16856&0|11580&0|9636&0|9815&0|15634&0|2891&1|2480&0|2480&1
5368&1|15216&0|5670&0|5670&1|5670&1|5670&0|7162&0|7162&0|7162&1|3905&0;11945&1|645&1|13598&1;5368&1|15216&0|5670&0|5670&1|5670&1|5670&0|7162&0|7162&0|7162&1|3905&0|11945&1|645&1|13598&1
10364&0|13163&1|9869&1|9853&0|7162&0|2494&0|9657&0|10364&0|4118&0|9853&0;9942&0|4192&0|13598&1;10364&0|13163&1|9869&1|9853&0|7162&0|2494&0|9657&0|10364&0|4118&0|9853&0|9942&0|4192&0|13598&1
17827&1|10516&0|14796&1|55&0|912&1|5699&1|5248&1|17243&1|5970&0|11749&1;7591&1|10674&0|10674&1;17827&1|10516&0|14796&1|55&0|912&1|5699&1|5248&1|17243&1|5970&0|11749&1|7591&1|10674&0|10674&1
514&1|3537&1|19068&1|20467&1|3393&1|10506&1|14700&1|15609&1|18297&1|140&1;4192&1|16117&1|17421&1;514&1|3537&1|19068&1|20467&1|3393&1|10506&1|14700&1|15609&1|18297&1|140&1|4192&1|16117&1|17421&1
18264&0|12130&0|4361&0|6639&1|6534&0|19221&0|7733&0|19465&0|9590&0|870&0;18104&0|6675&0|7560&0;18264&0|12130&0|4361&0|6639&1|6534&0|19221&0|7733&0|19465&0|9590&0|870&0|18104&0|6675&0|7560&0
17543&1|19967&1|5861&1|12963&1|20486&1|3135&1|19587&1|11587&0|2919&1|16434&1;9978&1|18333&1|4915&1;17543&1|19967&1|5861&1|12963&1|20486&1|3135&1|19587&1|11587&0|2919&1|16434&1|9978&1|18333&1|4915&1
18347&0|9853&0|13163&1|10096&0|8566&1|10364&0|14532&0|12158&0|4118&1|4650&1;4650&1|12158&0|4650&0;18347&0|9853&0|13163&1|10096&0|8566&1|10364&0|14532&0|12158&0|4118&1|4650&1|4650&1|12158&0|4650&0
8965&0|5048&0|6402&1|29&0|15608&0|14765&1|15806&0|15806&1|29&1|15806&0;15608&0|6402&1|13326&0;8965&0|5048&0|6402&1|29&0|15608&0|14765&1|15806&0|15806&1|29&1|15806&0|15608&0|6402&1|13326&0
20751&1|12017&0|18840&0|977&0|6183&0|18650&0|6183&1|20562&0|155&1|8609&1;1252&0|1485&0|17578&0;20751&1|12017&0|18840&0|977&0|6183&0|18650&0|6183&1|20562&0|155&1|8609&1|1252&0|1485&0|17578&0
12570&1|10373&0|1914&0|19340&1|10373&0|13840&0|10373&0|4869&0|19338&0|19953&1;12513&0|19553&0|13580&0;12570&1|10373&0|1914&0|19340&1|10373&0|13840&0|10373&0|4869&0|19338&0|19953&1|12513&0|19553&0|13580&0
5238&1|13598&0|18346&0|7382&0|7597&1|15216&1|8663&0|1616&1|14700&1|8559&1;5544&0|10565&1|8269&0;5238&1|13598&0|18346&0|7382&0|7597&1|15216&1|8663&0|1616&1|14700&1|8559&1|5544&0|10565&1|8269&0
